dataset,method,model_name,recall_acc_ul,recall_acc_lp,test_acc_ul,test_acc_lp,forget_label_0_ul,forget_label_0_lp,forget_label_1_ul,forget_label_1_lp,forget_label_3_ul,forget_label_3_lp,forget_label_5_ul,forget_label_5_lp,forget_label_6_ul,forget_label_6_lp,forget_label_11_ul,forget_label_11_lp,forget_label_22_ul,forget_label_22_lp,forget_label_33_ul,forget_label_33_lp,forget_label_44_ul,forget_label_44_lp,forget_label_55_ul,forget_label_55_lp,forget_label_51_ul,forget_label_51_lp,forget_label_101_ul,forget_label_101_lp,forget_label_151_ul,forget_label_151_lp,forget_label_198_ul,forget_label_198_lp,forget_label_7_ul,forget_label_7_lp,forget_label_9_ul,forget_label_9_lp,recall_improvement,recall_improvement_0,recall_improvement_1,recall_improvement_3,recall_improvement_5,recall_improvement_6,recall_improvement_11,recall_improvement_22,recall_improvement_33,recall_improvement_44,recall_improvement_55,recall_improvement_51,recall_improvement_101,recall_improvement_151,recall_improvement_198,recall_improvement_7,recall_improvement_9,recall_improvement_sum,A_unlearn_acc,A_lipnet_acc,A_r
cifar100,retrain,resnet18,19.555555559794108,20.711111111111112,45.89,99.96000000000001,,,,,,,,,,,16.0,15.555555555555555,27.55555534362793,25.333333333333336,33.77777862548828,43.111111111111114,11.55555534362793,12.444444444444445,8.88888931274414,7.111111111111111,,,,,,,,,,,,,0.05909090886135738,,,,,,-0.02777777777777779,-0.08064515421963617,0.2763157574423802,0.07692309667372882,-0.20000003814697087,,,,,,,0.044815883971724174,1131.456802744924,1231.9012345679012,0.0887744291954391
cifar100,FT,resnet18,22.577777837117512,22.133333333333333,46.83,99.94,,,,,,,,,,,16.44444465637207,16.88888888888889,34.66666793823242,26.666666666666668,36.4444465637207,45.77777777777778,13.333333015441895,11.11111111111111,12.0,10.222222222222223,,,,,,,,,,,,,-0.019685041946578097,,,,,,0.0270270137912259,-0.23076925898444617,0.25609748793244436,-0.1666666467984513,-0.14814814814814806,,,,,,,-0.26245955220737527,1473.5803321320345,1375.604938271605,-0.06648798964266489
cifar100,FF,resnet18,50.755555457221135,96.88888888888889,19.16,99.52,,,,,,,,,,,50.22222137451172,95.55555555555556,79.55555725097656,97.77777777777777,40.0,98.22222222222223,60.88888931274414,97.77777777777777,23.11111068725586,95.11111111111111,,,,,,,,,,,,,0.9089317024724676,,,,,,0.9026548993719135,0.22905025313712485,1.4555555555555557,0.605839404879943,3.115384690860321,,,,,,,6.308484803804858,7351.703683923792,28035.061728395063,2.8134101881309825
cifar100,GA,resnet18,29.155555574205188,94.39999999999999,42.97,99.38,,,,,,,,,,,29.77777862548828,93.77777777777779,28.44444465637207,92.0,20.44444465637207,94.66666666666667,38.66666793823242,96.88888888888889,28.44444465637207,94.66666666666667,,,,,,,,,,,,,2.237804875977687,,,,,,2.1492536416906773,2.2343749759020284,3.630434734609493,1.505747044034485,2.328124975203537,,,,,,,11.84793537144022,2526.3210877783513,26676.543209876545,9.559442874831053
cifar100,IU,resnet18,55.19999985080295,96.26666666666667,41.97,99.37,,,,,,,,,,,71.11111450195312,97.77777777777777,42.66666793823242,93.33333333333333,34.66666793823242,95.11111111111111,76.8888931274414,99.11111111111111,50.66666793823242,96.0,,,,,,,,,,,,,0.7439613573706622,,,,,,0.37499993443489377,1.1874999348074216,1.7435896429554754,0.28901726998250504,0.8947367945536364,,,,,,,4.489843576733932,9867.062545964764,27945.679012345678,1.8322186954996398
cifar100,FT_prune,resnet18,15.466666751437717,19.022222222222222,41.74,99.96000000000001,,,,,,,,,,,17.77777862548828,20.0,23.55555534362793,15.11111111111111,32.0,51.55555555555556,4.0,5.777777777777778,0.0,2.666666666666667,,,,,,,,,,,,,0.2298850507304035,,,,,,0.12499994635582226,-0.3584905602661219,0.6111111111111112,0.4444444444444444,inf,,,,,,,inf,808.2963160762083,923.9506172839507,0.14308403849862183
cifar100,retrain,vgg16,28.80000004916721,33.15555555555555,59.42,99.95,,,,,,,,,,,24.88888931274414,26.222222222222225,46.66666793823242,48.888888888888886,46.22222137451172,58.666666666666664,11.55555534362793,11.555555555555555,14.666666984558105,20.444444444444446,,,,,,,,,,,,,0.15123456593585277,,,,,,0.053571410629214486,0.04761901907369464,0.2692307925083232,1.8339891019391435e-08,0.393939363726572,,,,,,,0.7643606042776954,2503.3086853969244,3144.0,0.2559377987782947
cifar100,FT,vgg16,34.66666682603624,37.68888888888889,58.76,99.94,,,,,,,,,,,28.88888931274414,29.333333333333332,52.4444465637207,52.888888888888886,50.66666793823242,58.22222222222222,24.44444465637207,28.888888888888886,16.88888931274414,19.11111111111111,,,,,,,,,,,,,0.08717948218150649,,,,,,0.01538460048698127,0.008474535518802343,0.14912277817836278,0.18181817157209407,0.13157891896953283,,,,,,,0.4863790047257733,3573.0372156213853,4142.913580246913,0.15949354295388174
cifar100,FF,vgg16,0.0,0.0,0.0,0.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,
cifar100,GA,vgg16,14.400000024583605,89.68888888888888,54.76,99.72,,,,,,,,,,,10.666666984558105,90.22222222222223,23.55555534362793,80.88888888888889,11.55555534362793,95.55555555555556,16.44444465637207,91.55555555555556,9.777777671813965,90.22222222222223,,,,,,,,,,,,,5.228395051095311,,,,,,7.458333081255365,2.433962295046053,7.26923092088756,4.567567495815593,8.227272827270603,,,,,,,29.956366620275176,546.1728424260646,24158.222222222226,43.23182616497913
cifar100,IU,vgg16,38.93333335706923,94.13333333333334,51.63,99.81,,,,,,,,,,,25.33333396911621,93.77777777777779,55.11111068725586,95.55555555555556,28.44444465637207,97.33333333333334,78.66666412353516,98.22222222222223,7.555555820465088,85.77777777777777,,,,,,,,,,,,,1.4178082177040539,,,,,,2.7017542930631233,0.7338709810770018,2.421874974505045,0.24858761098573803,10.352940778418821,,,,,,,16.45902863804973,3314.4691426077,26542.814814814818,7.008164708370742
cifar100,FT_prune,vgg16,19.377777857462565,24.08888888888889,49.71,99.97,,,,,,,,,,,3.555555582046509,5.333333333333334,37.33333206176758,43.55555555555555,52.88888931274414,68.88888888888889,3.1111111640930176,2.666666666666667,0.8888888955116272,0.0,,,,,,,,,,,,,0.24311926094312358,,,,,,0.4999999888241293,0.16666670640309772,0.302520997964867,-0.14285715745419839,-1.0,,,,,,,-0.1736694642621044,1145.1851599172307,1722.469135802469,0.5040966265463673
